baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,unique_ID,NCBI.ID,Description,unique_to_sorghum,diffexpressed
8.186663547,-2.329808785,0.766191556,-3.040765417,0.002359776,0.04732092,"XM_021446457.1~Sobic.008G161500.1~ubiquitin-like-specific protease 1C (LOC8070123), mRNA",XM_021446457.1,"ubiquitin-like-specific protease 1C (LOC8070123), mRNA",0.7,DOWN
140.5311464,-0.882267563,0.23624955,-3.73447299,0.000188109,0.005964496,"XM_021446031.1~Sobic.001G507300.1~uncharacterized LOC110429684 (LOC110429684), transcript variant X2, mRNA",XM_021446031.1,"uncharacterized LOC110429684 (LOC110429684), transcript variant X2, mRNA",0.7,DOWN
79.59330291,-1.202473511,0.257615882,-4.667699461,3.05E-06,0.000177454,"XM_021450154.1~Sobic.010G218100.1~uncharacterized LOC110431258 (LOC110431258), mRNA",XM_021450154.1,"uncharacterized LOC110431258 (LOC110431258), mRNA",0.7,DOWN
92.64825695,-1.358108273,0.296883881,-4.57454365,4.77E-06,0.000259817,"XM_021451537.1~Sobic.001G111500.1~uncharacterized LOC110431848 (LOC110431848), transcript variant X1, mRNA",XM_021451537.1,"uncharacterized LOC110431848 (LOC110431848), transcript variant X1, mRNA",0.7,DOWN
116.8983405,-1.279988514,0.300385396,-4.261154276,2.03E-05,0.000886304,"XM_002456590.2~Sobic.003G356400.2~uncharacterized LOC8058909 (LOC8058909), transcript variant X2, mRNA",XM_002456590.2,"uncharacterized LOC8058909 (LOC8058909), transcript variant X2, mRNA",0.7,DOWN
105.6641472,-1.531466883,0.261377762,-5.859208801,4.65E-09,5.40E-07,"XM_002464474.2~Sobic.001G227800.1~uncharacterized LOC8059264 (LOC8059264), mRNA",XM_002464474.2,"uncharacterized LOC8059264 (LOC8059264), mRNA",0.7,DOWN
30.03158607,-2.179417855,0.4580922,-4.757596522,1.96E-06,0.000122752,"XM_002448351.2~Sobic.006G192100.1~uncharacterized LOC8060442 (LOC8060442), mRNA",XM_002448351.2,"uncharacterized LOC8060442 (LOC8060442), mRNA",0.7,DOWN
13.32276182,-2.331645669,0.697132366,-3.344624041,0.000823942,0.020365277,"XM_021449318.1~Sobic.010G248200.1~uncharacterized LOC8063818 (LOC8063818), transcript variant X2, mRNA",XM_021449318.1,"uncharacterized LOC8063818 (LOC8063818), transcript variant X2, mRNA",0.7,DOWN
697.4185852,-1.257309185,0.330225747,-3.807423245,0.000140422,0.004644566,"XM_002441158.2~Sobic.009G159700.1~uncharacterized LOC8072533 (LOC8072533), mRNA",XM_002441158.2,"uncharacterized LOC8072533 (LOC8072533), mRNA",0.7,DOWN
334.9367965,-0.840354669,0.224404933,-3.744813708,0.000180528,0.00578797,"XM_002448027.2~Sobic.006G124900.1~uncharacterized LOC8073676 (LOC8073676), mRNA",XM_002448027.2,"uncharacterized LOC8073676 (LOC8073676), mRNA",0.7,DOWN
78.16316897,-1.121706234,0.294876959,-3.803980604,0.000142389,0.004700263,"XM_002444290.2~Sobic.007G126800.1~uncharacterized LOC8075610 (LOC8075610), mRNA",XM_002444290.2,"uncharacterized LOC8075610 (LOC8075610), mRNA",0.7,DOWN
10.95860672,-3.574124312,0.833612604,-4.28751232,1.81E-05,0.000812733,"XM_002468029.2~Sobic.001G415200.1~uncharacterized LOC8081468 (LOC8081468), mRNA",XM_002468029.2,"uncharacterized LOC8081468 (LOC8081468), mRNA",0.7,DOWN
105.0918881,1.59554652,0.328579823,4.855887082,1.20E-06,8.10E-05,"XM_002437147.2~Sobic.010G174400.1~(S)-coclaurine N-methyltransferase (LOC8079308), mRNA",XM_002437147.2,"(S)-coclaurine N-methyltransferase (LOC8079308), mRNA",0.7,UP
55.28962197,1.728223063,0.411218953,4.202683389,2.64E-05,0.001117252,"XM_002447727.2~Sobic.006G066800.2~1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplastic (LOC8075258), mRNA",XM_002447727.2,"1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplastic (LOC8075258), mRNA",0.7,UP
115.1460355,1.225365115,0.213557809,5.737861422,9.59E-09,1.05E-06,"XM_002468081.2~Sobic.001G426000.1~17.9 kDa class I heat shock protein (LOC8081529), mRNA",XM_002468081.2,"17.9 kDa class I heat shock protein (LOC8081529), mRNA",0.7,UP
25.36699394,3.023913219,0.587218903,5.149550199,2.61E-07,2.16E-05,"XM_002457368.2~Sobic.003G082300.1~17.9 kDa heat shock protein 2 (LOC8073344), mRNA",XM_002457368.2,"17.9 kDa heat shock protein 2 (LOC8073344), mRNA",0.7,UP
72.3519664,1.592456885,0.436057745,3.651940374,0.000260266,0.007871516,"XM_002441043.2~Sobic.009G135500.1~1-deoxy-D-xylulose-5-phosphate synthase 1, chloroplastic (LOC8085126), mRNA",XM_002441043.2,"1-deoxy-D-xylulose-5-phosphate synthase 1, chloroplastic (LOC8085126), mRNA",0.7,UP
184.7093872,0.857932789,0.218718942,3.922535379,8.76E-05,0.003095481,"XM_002447654.2~Sobic.006G050500.2~2,3-dimethylmalate lyase (LOC8070958), mRNA",XM_002447654.2,"2,3-dimethylmalate lyase (LOC8070958), mRNA",0.7,UP
29.83088316,1.301647499,0.4157064,3.13117022,0.001741112,0.037206468,"XM_002444554.2~Sobic.007G171800.1~28 kDa ribonucleoprotein, chloroplastic (LOC8057999), mRNA",XM_002444554.2,"28 kDa ribonucleoprotein, chloroplastic (LOC8057999), mRNA",0.7,UP
58.61256156,1.072922031,0.275049705,3.900829601,9.59E-05,0.003323005,"XM_002461921.2~Sobic.002G131700.1~28 kDa ribonucleoprotein, chloroplastic (LOC8061671), mRNA",XM_002461921.2,"28 kDa ribonucleoprotein, chloroplastic (LOC8061671), mRNA",0.7,UP
72.18103134,1.087377131,0.271321636,4.007705194,6.13E-05,0.002282551,"XM_002443018.2~Sobic.008G078900.1~2-alkenal reductase (NADP(+)-dependent) (LOC8058160), mRNA",XM_002443018.2,"2-alkenal reductase (NADP(+)-dependent) (LOC8058160), mRNA",0.7,UP
29.8458296,1.974425522,0.54622781,3.614655801,0.000300747,0.008766537,"XM_002449189.2~Sobic.005G082700.2~2-alkenal reductase (NADP(+)-dependent) (LOC8076802), mRNA",XM_002449189.2,"2-alkenal reductase (NADP(+)-dependent) (LOC8076802), mRNA",0.7,UP
48.00286951,0.966192756,0.314930983,3.067950787,0.002155321,0.044181422,"XM_002448951.2~Sobic.005G036100.1~2-carboxy-D-arabinitol-1-phosphatase (LOC8058534), mRNA",XM_002448951.2,"2-carboxy-D-arabinitol-1-phosphatase (LOC8058534), mRNA",0.7,UP
125.2390051,0.880405621,0.23018665,3.824746653,0.000130907,0.004364092,"XM_021460138.1~Sobic.004G168500.1~2-Cys peroxiredoxin BAS1, chloroplastic (LOC110434977), mRNA",XM_021460138.1,"2-Cys peroxiredoxin BAS1, chloroplastic (LOC110434977), mRNA",0.7,UP
29.76401269,1.887457909,0.584844217,3.227283189,0.001249717,0.028503163,"XM_002443517.2~Sobic.008G171000.1~2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 2, chloroplastic (LOC8071468), mRNA",XM_002443517.2,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 2, chloroplastic (LOC8071468), mRNA",0.7,UP
43.50401134,1.669827315,0.357607213,4.66944528,3.02E-06,0.00017716,"XM_002443518.2~Sobic.008G171300.1~2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 2, chloroplastic (LOC8071470), mRNA",XM_002443518.2,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 2, chloroplastic (LOC8071470), mRNA",0.7,UP
31.83288874,4.21705212,0.596522611,7.069391915,1.56E-12,3.00E-10,"XM_021464786.1~Sobic.007G116700.1~2-methylene-furan-3-one reductase (LOC110436955), mRNA",XM_021464786.1,"2-methylene-furan-3-one reductase (LOC110436955), mRNA",0.7,UP
45.98238576,1.469405349,0.329342543,4.46163237,8.13E-06,0.000414273,"XM_002446576.2~Sobic.006G107600.1~30S ribosomal protein 3, chloroplastic (LOC8073437), mRNA",XM_002446576.2,"30S ribosomal protein 3, chloroplastic (LOC8073437), mRNA",0.7,UP
59.7898632,1.134753659,0.311613605,3.641540808,0.000271011,0.008107872,"XM_021446307.1~Sobic.001G469933.1~30S ribosomal protein S10, chloroplastic (LOC8081886), mRNA",XM_021446307.1,"30S ribosomal protein S10, chloroplastic (LOC8081886), mRNA",0.7,UP
106.4148281,1.570141622,0.288980417,5.433384165,5.53E-08,5.10E-06,"XM_021463861.1~Sobic.001G122400.1~30S ribosomal protein S13, chloroplastic-like (LOC110436562), mRNA",XM_021463861.1,"30S ribosomal protein S13, chloroplastic-like (LOC110436562), mRNA",0.7,UP
30.50226661,2.336903562,0.499485865,4.678618003,2.89E-06,0.000171881,"XM_002453393.2~Sobic.004G072000.1~30S ribosomal protein S21, chloroplastic (LOC8079435), mRNA",XM_002453393.2,"30S ribosomal protein S21, chloroplastic (LOC8079435), mRNA",0.7,UP
44.85033918,1.729075606,0.436985012,3.956830464,7.60E-05,0.002753465,"XM_002456758.2~Sobic.003G393800.1~30S ribosomal protein S31, chloroplastic (LOC8056134), mRNA",XM_002456758.2,"30S ribosomal protein S31, chloroplastic (LOC8056134), mRNA",0.7,UP
28.17884408,1.383531579,0.404076414,3.423935502,0.000617213,0.016138897,"XM_002466879.2~Sobic.001G191000.1~30S ribosomal protein S5 (LOC8065677), mRNA",XM_002466879.2,"30S ribosomal protein S5 (LOC8065677), mRNA",0.7,UP
11.46016484,2.434957433,0.729433241,3.338149809,0.000843383,0.020654167,"XM_002466072.2~Sobic.001G017000.1~30S ribosomal protein S6 alpha, chloroplastic (LOC8060897), mRNA",XM_002466072.2,"30S ribosomal protein S6 alpha, chloroplastic (LOC8060897), mRNA",0.7,UP
12.62639116,2.186756747,0.672385564,3.25223631,0.001145008,0.026552668,"XM_002463780.2~Sobic.001G076500.1~30S ribosomal protein S9, chloroplastic (LOC8083964), mRNA",XM_002463780.2,"30S ribosomal protein S9, chloroplastic (LOC8083964), mRNA",0.7,UP
229.9923969,1.592229988,0.317387494,5.016675257,5.26E-07,3.91E-05,"XM_002439687.2~Sobic.009G123900.1~50S ribosomal protein L1, chloroplastic (LOC8082351), mRNA",XM_002439687.2,"50S ribosomal protein L1, chloroplastic (LOC8082351), mRNA",0.7,UP
29.89205833,1.625607941,0.41896622,3.880045367,0.000104437,0.003582793,"XM_002465919.2~Sobic.001G527100.1~50S ribosomal protein L11 (LOC8085722), mRNA",XM_002465919.2,"50S ribosomal protein L11 (LOC8085722), mRNA",0.7,UP
20.77298145,2.911585862,0.644140102,4.520112712,6.18E-06,0.000327872,"XM_002456044.2~Sobic.003G246400.1~50S ribosomal protein L12, chloroplastic (LOC8060137), mRNA",XM_002456044.2,"50S ribosomal protein L12, chloroplastic (LOC8060137), mRNA",0.7,UP
51.94932253,1.8613737,0.405941647,4.585323325,4.53E-06,0.000247577,"XM_002463549.2~Sobic.001G027600.1~50S ribosomal protein L18, chloroplastic (LOC8079691), mRNA",XM_002463549.2,"50S ribosomal protein L18, chloroplastic (LOC8079691), mRNA",0.7,UP
41.46310618,1.578359279,0.4363045,3.617563604,0.000297389,0.008702355,"XM_002452776.2~Sobic.004G298100.1~50S ribosomal protein L19-1, chloroplastic (LOC8073975), mRNA",XM_002452776.2,"50S ribosomal protein L19-1, chloroplastic (LOC8073975), mRNA",0.7,UP
26.75578521,1.888089477,0.518957168,3.638237592,0.00027451,0.008183063,"XM_002453592.2~Sobic.004G116100.1~50S ribosomal protein L21, chloroplastic (LOC8059054), mRNA",XM_002453592.2,"50S ribosomal protein L21, chloroplastic (LOC8059054), mRNA",0.7,UP
28.76089654,1.822252946,0.491329561,3.708820086,0.000208227,0.006474544,"XM_002438829.2~Sobic.010G233800.1~50S ribosomal protein L24, chloroplastic (LOC8083304), mRNA",XM_002438829.2,"50S ribosomal protein L24, chloroplastic (LOC8083304), mRNA",0.7,UP
19.53052886,2.078513326,0.516523024,4.024047776,5.72E-05,0.002158758,"XM_002464537.2~Sobic.001G240000.1~50S ribosomal protein L28, chloroplastic (LOC8064876), mRNA",XM_002464537.2,"50S ribosomal protein L28, chloroplastic (LOC8064876), mRNA",0.7,UP
54.43569787,1.129843196,0.31591163,3.576453316,0.000348287,0.009818277,"XM_002453228.2~Sobic.004G034500.1~50S ribosomal protein L3, chloroplastic (LOC8057538), mRNA",XM_002453228.2,"50S ribosomal protein L3, chloroplastic (LOC8057538), mRNA",0.7,UP
49.17152446,1.449543714,0.376393633,3.851137713,0.00011757,0.003967761,"XM_002458159.2~Sobic.003G230400.1~50S ribosomal protein L31, chloroplastic (LOC8054924), mRNA",XM_002458159.2,"50S ribosomal protein L31, chloroplastic (LOC8054924), mRNA",0.7,UP
33.11101867,1.862907041,0.486785782,3.826954508,0.000129738,0.004334362,"XM_021457883.1~Sobic.003G328000.1~50S ribosomal protein L34, chloroplastic (LOC110434129), mRNA",XM_021457883.1,"50S ribosomal protein L34, chloroplastic (LOC110434129), mRNA",0.7,UP
32.83619509,2.156895441,0.482990823,4.465706875,7.98E-06,0.000407717,"XM_002437311.2~Sobic.010G208000.1~50S ribosomal protein L35, chloroplastic (LOC8069333), mRNA",XM_002437311.2,"50S ribosomal protein L35, chloroplastic (LOC8069333), mRNA",0.7,UP
42.55538099,1.264925119,0.409048625,3.092358809,0.001985727,0.04132502,"XM_021450581.1~Sobic.001G524900.1~50S ribosomal protein L5, chloroplastic (LOC110431438), mRNA",XM_021450581.1,"50S ribosomal protein L5, chloroplastic (LOC110431438), mRNA",0.7,UP
102.5943697,1.582701207,0.342548678,4.620368753,3.83E-06,0.000212719,"XM_002465215.2~Sobic.001G368500.1~50S ribosomal protein L6, chloroplastic (LOC8080817), mRNA",XM_002465215.2,"50S ribosomal protein L6, chloroplastic (LOC8080817), mRNA",0.7,UP
35.81699423,1.965021279,0.468481751,4.19444573,2.74E-05,0.001155688,"XM_002454686.2~Sobic.004G335800.1~50S ribosomal protein L9, chloroplastic (LOC8056405), mRNA",XM_002454686.2,"50S ribosomal protein L9, chloroplastic (LOC8056405), mRNA",0.7,UP
18.86631819,2.010363475,0.518658635,3.876082146,0.000106152,0.003634114,"XM_002466220.2~Sobic.001G051600.1~AAA-ATPase At3g28580 (LOC8061146), mRNA",XM_002466220.2,"AAA-ATPase At3g28580 (LOC8061146), mRNA",0.7,UP
17.80653391,1.683299693,0.483619077,3.480631294,0.000500234,0.013344921,"XM_002455869.2~Sobic.003G212300.1~AAA-ATPase At3g50940 (LOC8082216), mRNA",XM_002455869.2,"AAA-ATPase At3g50940 (LOC8082216), mRNA",0.7,UP
41.33971257,1.567396869,0.425698759,3.681939013,0.000231467,0.00710402,"XM_002446782.2~Sobic.006G155700.1~ABC transporter G family member 11 (LOC8082867), mRNA",XM_002446782.2,"ABC transporter G family member 11 (LOC8082867), mRNA",0.7,UP
105.0748829,1.12029814,0.35359737,3.16828753,0.001533398,0.0335891,"XM_021445782.1~Sobic.008G049200.2~abscisic stress-ripening protein 1-like (LOC110429605), mRNA",XM_021445782.1,"abscisic stress-ripening protein 1-like (LOC110429605), mRNA",0.7,UP
145.514785,1.361629672,0.338502269,4.022512687,5.76E-05,0.002167953,"XM_002445065.2~Sobic.007G052700.1~acyl-CoA-binding protein (LOC8069646), mRNA",XM_002445065.2,"acyl-CoA-binding protein (LOC8069646), mRNA",0.7,UP
120.2419871,2.426841376,0.396220913,6.124970428,9.07E-10,1.15E-07,"XM_002444847.2~Sobic.007G009200.1~adenylate kinase, chloroplastic (LOC8064360), mRNA",XM_002444847.2,"adenylate kinase, chloroplastic (LOC8064360), mRNA",0.7,UP
44.32033074,1.64137161,0.450242555,3.645527489,0.000266844,0.00799761,"XM_021446194.1~Sobic.001G260800.5~alanine aminotransferase 2 (LOC110429736), transcript variant X3, mRNA",XM_021446194.1,"alanine aminotransferase 2 (LOC110429736), transcript variant X3, mRNA",0.7,UP
71.83773086,1.108331317,0.288196717,3.845745805,0.000120186,0.004047816,"XM_002441213.2~Sobic.009G172500.1~alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial (LOC8064129), mRNA",XM_002441213.2,"alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial (LOC8064129), mRNA",0.7,UP
342.345146,1.06946387,0.23545478,4.542120023,5.57E-06,0.00029829,"XM_002449347.2~Sobic.005G103300.1~alcohol dehydrogenase 2 (LOC8064371), mRNA",XM_002449347.2,"alcohol dehydrogenase 2 (LOC8064371), mRNA",0.7,UP
